COD_Ateneo,NomeRubrica,NomeOperativo,Score
1503,Bocconi MILANO,Milano Bocconi,95
5816,UNISR - San Raffaele,Roma San Raffaele,78
5817,LINK CAMPUS,Roma - Link Campus,90
6307,Univ. Telematica PEGASO,Napoli Pegaso,85
5814,"Univ. Telematica ""Universitas MERCATORUM""",Roma  Mercatorum,85
1510,HUMANITAS University,Rozzano (MI) Humanitas University,90
1508,Univ. Telematica San Raffaele Roma,Milano San Raffaele,85
1504,Cattolica del Sacro Cuore,Milano Cattolica,85
6202,"Univ. Telematica ""GIUSTINO FORTUNATO""",Benevento - Giustino Fortunato,74
5818,UniCamillus - Saint Camillus International U,Roma Saint Camillus,85
5813,Univ. Telematica Internazionale UNINETTUNO,Roma UNINETTUNO,85
2101,Libera Università di BOLZANO,Bolzano,90
1201,LIUC - CASTELLANZA,Castellanza LIUC,95
6301,Suor Orsola Benincasa - NAPOLI,Napoli Federico II,85
5810,Univ. Studi GUGLIELMO MARCONI - Telematica,Roma Marconi,85
5812,EUROPEA di ROMA,Roma Europea,95
5811,Università degli Studi di Roma UnitelmaSapie,Roma UNITELMA,90
1505,IULM - MILANO,Milano IULM,95
5801,Univ. Studi Internazionali di ROMA (UNINT),Roma La Sapienza,85
5805,Luiss Guido Carli,Roma LUISS,85
401,SCIENZE GASTRONOMICHE,Bra - Scienze Gastronomiche,95
701,VALLE D'AOSTA,Aosta,90
4804,Univ. Telematica IUL,Firenze IUL,85
